what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1430655747393
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1430655748917
opened,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1430655749189
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1430655749266
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1430655749299
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1430655759291
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.cleanAction",1430655762162
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1430655762202
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.buildProject",1430655766877
activated,view,org.eclipse.wst.common.snippets,1.2.0.v201004290255,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1430655786240
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1430655811783
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1430655828876
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1430656200714
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1430656200989
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1430656202167
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1430656203242
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1430656619424
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1430656619990
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1430656620255
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1430656678514
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1430656771006
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1430657077487
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1430657091770
activated,editor,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1430657091828
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1430657476966
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1430657758564
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1430657758737
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1430657917057
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1430658011436
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1430658022798
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1430659136879
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1430659283910
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1430659293133
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.0.v201004262257,"org.eclipse.jst.ws.jaxws.ui",1430659293172
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1430659293193
started,bundle,org.eclipse.pde.api.tools,1.0.201.v20100602-0930,"org.eclipse.pde.api.tools",1430659293273
started,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1430659293275
started,bundle,org.eclipse.jst.ws.annotations.core,1.0.0.v201004262257,"org.eclipse.jst.ws.annotations.core",1430659293441
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1430659293602
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1430659293631
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1430659327078
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.scroll.lineDown",1430659327380
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1430659335500
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1430659336617
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1430659341156
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1430659346192
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1430659349566
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1430659360507
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1430659366990
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1430659384149
